date,monthly_sales
2016-01-31,1524
2016-02-29,2082
2016-03-31,757
2016-04-30,2081
2016-05-31,1691
2016-06-30,1765
2016-07-31,1055
2016-08-31,1260
2016-09-30,712
2016-10-31,1303
2016-11-30,1467
2016-12-31,825
2017-01-31,2325
2017-02-28,2040
2017-03-31,2155
2017-04-30,986
2017-05-31,1440
2017-06-30,834
2017-07-31,759
2017-08-31,1409
2017-09-30,631
2017-10-31,1450
2017-11-30,1329
2017-12-31,751
2018-01-31,1763
2018-02-28,1153
2018-03-31,1683
2018-04-30,1345
2018-05-31,981
2018-06-30,1336
2018-07-31,1970
2018-08-31,1298
2018-09-30,1452
2018-10-31,1703
2018-11-30,2253
2018-12-31,1485
2019-01-31,2074
2019-02-28,1148
2019-03-31,2097
2019-04-30,1089
2019-05-31,1970
2019-06-30,2481
2019-07-31,247
2019-08-31,1645
2019-09-30,1844
2019-10-31,1905
2019-11-30,2035
2019-12-31,1652
2020-01-31,1561
2020-02-29,1599
2020-03-31,1015
2020-04-30,1649
2020-05-31,1283
2020-06-30,2459
2020-07-31,1563
2020-08-31,1837
2020-09-30,454
2020-10-31,1536
2020-11-30,854
2020-12-31,1646
2021-01-31,1263
2021-02-28,1392
2021-03-31,1339
2021-04-30,1863
2021-05-31,2036
2021-06-30,931
2021-07-31,1892
2021-08-31,1177
2021-09-30,1938
2021-10-31,475
2021-11-30,2140
2021-12-31,1645
2022-01-31,1291
2022-02-28,2802
2022-03-31,1491
2022-04-30,1784
2022-05-31,1175
2022-06-30,2017
2022-07-31,1145
2022-08-31,1244
2022-09-30,2556
2022-10-31,2116
2022-11-30,1543
2022-12-31,789
2023-01-31,1788
2023-02-28,1181
2023-03-31,2369
2023-04-30,1897
2023-05-31,1737
2023-06-30,653
2023-07-31,1444
2023-08-31,1812
2023-09-30,1080
2023-10-31,885
2023-11-30,317
2023-12-31,1158
2024-01-31,2185
2024-02-29,2113
2024-03-31,2064
2024-04-30,1624
2024-05-31,1666
2024-06-30,1130
2024-07-31,824
2024-08-31,1679
2024-09-30,664
2024-10-31,1072
2024-11-30,1427
2024-12-31,38712
