date,monthly_sales
2016-01-31,4.141493
2016-02-29,6.710943
2016-03-31,8.774307
2016-04-30,14.083333
2016-05-31,17.471359
2016-06-30,23.527776
2016-07-31,36.897568
2016-08-31,43.189237
2016-09-30,52.97222
2016-10-31,77.621525
2016-11-30,93.555557
2016-12-31,110.718753
2017-01-31,109.732637
2017-02-28,148.923609
2017-03-31,105.423611
2017-04-30,108.350695
2017-05-31,142.07986
2017-06-30,170.541666
2017-07-31,252.680557
2017-08-31,318.284723
2017-09-30,386.965279
2017-10-31,460.185759
2017-11-30,517.137156
2017-12-31,515.791665
2018-01-31,516.093752
2018-02-28,646.875004
2018-03-31,723.434029
2018-04-30,885.10417
2018-05-31,1170.921874
2018-06-30,1368.546875
2018-07-31,1984.984375
2018-08-31,2253.398438
2018-09-30,2759.53125
2018-10-31,4376.554689
2018-11-30,4898.8125
2018-12-31,4666.140625
2019-01-31,3396.265625
2019-02-28,1528.300621
2019-03-31,1334.899996
2019-04-30,1328.950005
2019-05-31,1279.159999
2019-06-30,1073.45
2019-07-31,931.66
2019-08-31,1039.82
2019-09-30,1173.179996
2019-10-31,1468.150004
2019-11-30,1799.469998
2019-12-31,1716.460005
2020-01-31,1593.429994
2020-02-29,1430.719996
2020-03-31,1354.7799890000001
2020-04-30,1424.769993
2020-05-31,1329.089991
2020-06-30,1392.310001
2020-07-31,1555.180006
2020-08-31,1550.689994
2020-09-30,1982.800016
2020-10-31,1995.690013
2020-11-30,2154.740005
2020-12-31,2311.389995
2021-01-31,1853.709996
2021-02-28,1846.089998
2021-03-31,1595.510004
2021-04-30,1201.090004
2021-05-31,1342.860004
2021-06-30,1598.150003
2021-07-31,1791.710003
2021-08-31,1912.220001
2021-09-30,1722.400006
2021-10-31,1612.800002
2021-11-30,1461.630008
2021-12-31,1226.4
2022-01-31,1211.900003
2022-02-28,1422.660008
2022-03-31,1424.63
2022-04-30,1318.520006
2022-05-31,1420.580001
2022-06-30,1575.63
2022-07-31,1836.699997
2022-08-31,1722.689998
2022-09-30,1641.840002
2022-10-31,1797.369991
2022-11-30,1857.150006
2022-12-31,2032.579997
2023-01-31,2152.109994
2023-02-28,2061.619995
2023-03-31,2047.919998
2023-04-30,1973.539996
2023-05-31,2166.389998
2023-06-30,2316.870009
2023-07-31,2367.13
2023-08-31,2453.760019
2023-09-30,2413.630001
2023-10-31,2843.260021
2023-11-30,3284.619984
2023-12-31,3302.169998
2024-01-31,3462.389992
2024-02-29,3748.770004
2024-03-31,4160.100002
2024-04-30,3602.010001
2024-05-31,3427.640014
2024-06-30,3198.809996
2024-07-31,3229.209997
2024-08-31,3178.650006
2024-09-30,3726.32001
2024-10-31,4115.629985
2024-11-30,4236.91
2024-12-31,8277.480023
