date,monthly_sales,lag_1,lag_2,lag_7,lag_14,lag_30,roll_7,roll_30,volatility
2016-03-01,1035673973883.871,1035801820800.0,1035940775834.4828,1036635551006.8966,1037608236248.2759,1039831516800.0,1036081317743.016,1037678084036.129,297624661.368224
2016-03-02,1035546126967.742,1035673973883.871,1035801820800.0,1036496595972.4138,1037469281213.7931,1039692561765.5172,1035945536456.6345,1037539869542.8699,293371177.95661795
2016-03-03,1035418280051.6129,1035546126967.742,1035673973883.871,1036357640937.931,1037330326179.3103,1039553606731.0344,1035811342044.3031,1037402025320.2225,288245300.4413152
2016-03-04,1035290433135.4839,1035418280051.6129,1035546126967.742,1036218685903.4482,1037191371144.8276,1039414651696.5518,1035678734506.0226,1037264551368.187,283088877.85797226
2016-03-05,1035162586219.3549,1035290433135.4839,1035418280051.6129,1036079730868.9656,1037052416110.3448,1039275696662.069,1035547713841.7924,1037127447686.7632,278771694.56707805
2016-03-06,1035034739303.2258,1035162586219.3549,1035290433135.4839,1035940775834.4828,1036913461075.862,1039136741627.5862,1035418280051.6129,1036990714275.951,276180904.1760814
2016-03-07,1034906892387.0968,1035034739303.2258,1035162586219.3549,1035801820800.0,1036774506041.3793,1038997786593.1034,1035290433135.4838,1036854351135.7507,276180904.1760673
2016-03-08,1034779045470.9678,1034906892387.0968,1035034739303.2258,1035673973883.871,1036635551006.8966,1038858831558.6207,1035162586219.3549,1036718358266.1624,276180904.1760814
2016-03-09,1034651198554.8387,1034779045470.9678,1034906892387.0968,1035546126967.742,1036496595972.4138,1038719876524.138,1035034739303.2257,1036582735667.1858,276180904.1760673
2016-03-10,1034523351638.7097,1034651198554.8387,1034779045470.9678,1035418280051.6129,1036357640937.931,1038580921489.6552,1034906892387.0968,1036447483338.8208,276180904.1760814
2016-03-11,1034395504722.5807,1034523351638.7097,1034651198554.8387,1035290433135.4839,1036218685903.4482,1038441966455.1724,1034779045470.9678,1036312601281.0679,276180904.1760673
2016-03-12,1034267657806.4517,1034395504722.5807,1034523351638.7097,1035162586219.3549,1036079730868.9656,1038303011420.6897,1034651198554.8387,1036178089493.9266,276180904.1760814
2016-03-13,1034139810890.3226,1034267657806.4517,1034395504722.5807,1035034739303.2258,1035940775834.4828,1038164056386.2069,1034523351638.7098,1036043947977.3971,276180904.1760673
2016-03-14,1034011963974.1936,1034139810890.3226,1034267657806.4517,1034906892387.0968,1035801820800.0,1038025101351.7241,1034395504722.5807,1035910176731.4794,276180904.1760814
2016-03-15,1033884117058.0646,1034011963974.1936,1034139810890.3226,1034779045470.9678,1035673973883.871,1037886146317.2413,1034267657806.4518,1035776775756.1736,276180904.1760673
2016-03-16,1033756270141.9354,1033884117058.0646,1034011963974.1936,1034651198554.8387,1035546126967.742,1037747191282.7587,1034139810890.3226,1035643745051.4794,276180904.176112
2016-03-17,1033628423225.8064,1033756270141.9354,1033884117058.0646,1034523351638.7097,1035418280051.6129,1037608236248.2759,1034011963974.1936,1035511084617.3971,276180904.176112
2016-03-18,1033500576309.6774,1033628423225.8064,1033756270141.9354,1034395504722.5807,1035290433135.4839,1037469281213.7931,1033884117058.0645,1035378794453.9266,276180904.1760673
2016-03-19,1033372729393.5483,1033500576309.6774,1033628423225.8064,1034267657806.4517,1035162586219.3549,1037330326179.3103,1033756270141.9355,1035246874561.0679,276180904.1760226
2016-03-20,1033244882477.4193,1033372729393.5483,1033500576309.6774,1034139810890.3226,1035034739303.2258,1037191371144.8276,1033628423225.8064,1035115324938.8208,276180904.1759778
2016-03-21,1033117035561.2903,1033244882477.4193,1033372729393.5483,1034011963974.1936,1034906892387.0968,1037052416110.3448,1033500576309.6774,1034984145587.1858,276180904.1759331
2016-03-22,1032989188645.1613,1033117035561.2903,1033244882477.4193,1033884117058.0646,1034779045470.9678,1036913461075.862,1033372729393.5482,1034853336506.1624,276180904.1758884
2016-03-23,1032861341729.0322,1032989188645.1613,1033117035561.2903,1033756270141.9354,1034651198554.8387,1036774506041.3793,1033244882477.4193,1034722897695.7507,276180904.17590255
2016-03-24,1032733494812.9032,1032861341729.0322,1032989188645.1613,1033628423225.8064,1034523351638.7097,1036635551006.8966,1033117035561.2902,1034592829155.951,276180904.1758884
2016-03-25,1032605647896.7742,1032733494812.9032,1032861341729.0322,1033500576309.6774,1034395504722.5807,1036496595972.4138,1032989188645.1613,1034463130886.7632,276180904.17590255
2016-03-26,1032477800980.6451,1032605647896.7742,1032733494812.9032,1033372729393.5483,1034267657806.4517,1036357640937.931,1032861341729.0322,1034333802888.187,276180904.1758884
