date,New_Installs ,Returning_Users ,Uninstalls ,Net_new_installs ,Uninstall_rate,DAU ,Unique_Page_Views,Page_view_conversion,Add_to_Cart,A2C_Conv,Add_to_Cart_Prod_page,Order_Comp,Overall_Conv,lag_1,lag_2,lag_7,lag_14,lag_30,roll_week,roll_month,dayofweek,month,year
2021-10-01,9300,834,1756,3416,18.88%,13555,3709,27.36%,808,5.96%,21.78%,345,2.55%,400.0,315.0,214.0,470.0,460.0,352.14285714285717,377.26666666666665,4,10,2021
2021-10-02,6562,668,3214,6776,48.98%,16210,3803,23.46%,1028,6.34%,27.03%,372,2.29%,345.0,400.0,289.0,443.0,521.0,364.0,372.3,5,10,2021
2021-10-03,5026,623,2114,3831,42.06%,13931,4243,30.46%,823,5.91%,19.40%,342,2.45%,372.0,345.0,283.0,493.0,311.0,372.42857142857144,373.3333333333333,6,10,2021
2021-10-04,4818,525,1596,4761,33.13%,16139,4100,25.40%,1016,6.30%,24.78%,277,1.72%,342.0,372.0,465.0,458.0,435.0,345.57142857142856,368.06666666666666,0,10,2021
2021-10-05,5128,435,1951,4253,38.05%,11342,4066,35.85%,782,6.89%,19.23%,355,3.13%,277.0,342.0,368.0,269.0,438.0,343.7142857142857,365.3,1,10,2021
2021-10-06,6011,483,2230,4119,37.10%,14352,4564,31.80%,833,5.80%,18.25%,521,3.63%,355.0,277.0,315.0,413.0,427.0,373.14285714285717,368.43333333333334,2,10,2021
2021-10-07,7279,645,2240,5013,30.77%,15237,4289,28.15%,704,4.62%,16.41%,281,1.84%,521.0,355.0,400.0,273.0,363.0,356.14285714285717,365.7,3,10,2021
2021-10-08,8856,940,2753,4971,31.09%,13435,3256,24.24%,836,6.22%,25.68%,323,2.40%,281.0,521.0,345.0,214.0,524.0,353.0,359.0,4,10,2021
2021-10-09,8293,689,1964,5423,23.68%,13941,4501,32.29%,965,6.92%,21.44%,460,3.30%,323.0,281.0,372.0,289.0,455.0,365.57142857142856,359.1666666666667,5,10,2021
2021-10-10,9700,911,1725,5334,17.78%,12701,4263,33.56%,1139,8.97%,26.72%,309,2.43%,460.0,323.0,342.0,283.0,388.0,360.85714285714283,356.53333333333336,6,10,2021
2021-10-11,8873,680,2604,5450,29.35%,14119,4706,33.33%,958,6.79%,20.36%,385,2.73%,309.0,460.0,277.0,465.0,471.0,376.2857142857143,353.6666666666667,0,10,2021
2021-10-12,11934,893,2303,5453,19.30%,14619,5398,36.92%,1165,7.97%,21.58%,365,2.50%,385.0,309.0,355.0,368.0,302.0,377.7142857142857,355.76666666666665,1,10,2021
2021-10-13,7630,776,1460,3892,19.13%,13951,3686,26.42%,898,6.44%,24.36%,355,2.54%,365.0,385.0,521.0,315.0,251.0,354.0,359.23333333333335,2,10,2021
2021-10-14,6568,995,970,4146,14.77%,12757,3948,30.95%,1047,8.21%,26.52%,382,2.99%,355.0,365.0,281.0,400.0,289.0,368.42857142857144,362.3333333333333,3,10,2021
2021-10-15,6911,593,1282,4844,18.55%,13272,4461,33.61%,1120,8.44%,25.11%,542,4.08%,382.0,355.0,323.0,345.0,308.0,399.7142857142857,370.1333333333333,4,10,2021
2021-10-16,4863,813,1021,4882,21.00%,15548,4560,29.33%,1331,8.56%,29.19%,396,2.55%,542.0,382.0,460.0,372.0,337.0,390.57142857142856,372.1,5,10,2021
2021-10-17,7517,944,1289,4896,17.15%,16542,6775,40.96%,1328,8.03%,19.60%,532,3.22%,396.0,542.0,309.0,342.0,470.0,422.42857142857144,374.1666666666667,6,10,2021
2021-10-18,11531,821,2979,4946,25.83%,16270,6252,38.43%,1826,11.22%,29.21%,578,3.55%,532.0,396.0,385.0,277.0,443.0,450.0,378.6666666666667,0,10,2021
2021-10-19,11850,1017,2831,7509,23.89%,18495,5761,31.15%,1841,9.95%,31.96%,575,3.11%,578.0,532.0,365.0,355.0,493.0,480.0,381.4,1,10,2021
2021-10-20,11334,995,3510,6672,30.97%,18532,6824,36.82%,1947,10.51%,28.53%,560,3.02%,575.0,578.0,355.0,521.0,458.0,509.2857142857143,384.8,2,10,2021
2021-10-21,10559,766,4217,7497,39.94%,23649,7955,33.64%,2062,8.72%,25.92%,480,2.03%,560.0,575.0,382.0,281.0,269.0,523.2857142857143,391.8333333333333,3,10,2021
2021-10-22,11176,1215,4358,6825,38.99%,21875,8537,39.03%,2268,10.37%,26.57%,634,2.90%,480.0,560.0,542.0,323.0,413.0,536.4285714285714,399.2,4,10,2021
2021-10-23,12210,880,2982,9011,24.42%,22930,6532,28.49%,1689,7.37%,25.86%,698,3.04%,634.0,480.0,396.0,460.0,273.0,579.5714285714286,413.3666666666667,5,10,2021
2021-10-24,11244,926,4335,5744,38.55%,20084,7448,37.08%,2119,10.55%,28.45%,552,2.75%,698.0,634.0,532.0,309.0,214.0,582.4285714285714,424.6333333333333,6,10,2021
2021-10-25,14106,1125,2728,6217,19.34%,24573,7391,30.08%,2109,8.58%,28.53%,406,1.65%,552.0,698.0,578.0,385.0,289.0,557.8571428571429,428.53333333333336,0,10,2021
2021-10-26,10422,1119,3007,9466,28.85%,21812,6681,30.63%,2026,9.29%,30.32%,586,2.69%,406.0,552.0,575.0,365.0,283.0,559.4285714285714,438.6333333333333,1,10,2021
2021-10-27,10947,1082,1698,8931,15.51%,20769,5743,27.65%,1620,7.80%,28.21%,443,2.13%,586.0,406.0,560.0,355.0,465.0,542.7142857142857,437.9,2,10,2021
2021-10-28,13772,1120,3212,5440,23.32%,20841,6311,30.28%,1792,8.60%,28.39%,647,3.10%,443.0,586.0,480.0,382.0,368.0,566.5714285714286,447.2,3,10,2021
2021-10-29,15359,1007,1999,5999,13.02%,22386,8109,36.22%,2341,10.46%,28.87%,589,2.63%,647.0,443.0,634.0,542.0,315.0,560.1428571428571,456.3333333333333,4,10,2021
2021-10-30,13702,1066,4225,9617,30.83%,24472,8055,32.92%,2354,9.62%,29.22%,757,3.09%,589.0,647.0,698.0,396.0,400.0,568.5714285714286,468.23333333333335,5,10,2021
2021-10-31,15030,1105,2001,10471,13.31%,26848,7142,26.60%,2112,7.87%,29.57%,608,2.26%,757.0,589.0,552.0,532.0,345.0,576.5714285714286,477.0,6,10,2021
2021-11-01,12609,1202,2362,9528,18.73%,24685,8521,34.52%,2316,9.38%,27.18%,694,2.81%,608.0,757.0,406.0,578.0,372.0,617.7142857142857,487.73333333333335,0,11,2021
2021-11-02,16512,1338,4406,8335,26.68%,28940,8302,28.69%,2248,7.77%,27.08%,1053,3.64%,694.0,608.0,586.0,575.0,342.0,684.4285714285714,511.43333333333334,1,11,2021
2021-11-03,10286,1095,4295,7363,41.76%,21980,5900,26.84%,1466,6.67%,24.85%,611,2.78%,1053.0,694.0,443.0,560.0,277.0,708.4285714285714,522.5666666666667,2,11,2021
2021-11-04,7614,648,1626,4750,21.36%,13689,4020,29.37%,1073,7.84%,26.69%,507,3.70%,611.0,1053.0,647.0,480.0,355.0,688.4285714285714,527.6333333333333,3,11,2021
2021-11-05,8489,827,3266,5681,38.47%,20583,4234,20.57%,980,4.76%,23.15%,562,2.73%,507.0,611.0,589.0,634.0,521.0,684.5714285714286,529.0,4,11,2021
2021-11-06,8772,951,4158,7755,47.40%,18962,5399,28.47%,1456,7.68%,26.97%,581,3.06%,562.0,507.0,757.0,698.0,281.0,659.4285714285714,539.0,5,11,2021
2021-11-07,10688,989,3408,4901,31.89%,16843,3980,23.63%,1191,7.07%,29.92%,592,3.51%,581.0,562.0,608.0,552.0,323.0,657.1428571428571,547.9666666666667,6,11,2021
2021-11-08,11884,1013,2005,5128,16.87%,20190,4350,21.55%,1107,5.48%,25.45%,402,1.99%,592.0,581.0,694.0,406.0,460.0,615.4285714285714,546.0333333333333,0,11,2021
2021-11-09,19779,1766,3259,7259,16.48%,28804,10894,37.82%,2713,9.42%,24.90%,733,2.54%,402.0,592.0,1053.0,586.0,309.0,569.7142857142857,560.1666666666666,1,11,2021
2021-11-10,14971,1482,5565,7774,37.17%,26622,10353,38.89%,2519,9.46%,24.33%,506,1.90%,733.0,402.0,611.0,443.0,385.0,554.7142857142857,564.2,2,11,2021
2021-11-11,7872,1000,3908,6637,49.64%,25431,7891,31.03%,1746,6.87%,22.13%,677,2.66%,506.0,733.0,507.0,647.0,365.0,579.0,574.6,3,11,2021
2021-11-12,12854,1330,3421,9326,26.61%,26722,7712,28.86%,1945,7.28%,25.22%,427,1.60%,677.0,506.0,562.0,589.0,355.0,559.7142857142857,577.0,4,11,2021
2021-11-13,9765,995,4641,8713,47.53%,22114,8429,38.12%,1754,7.93%,20.81%,322,1.46%,427.0,677.0,581.0,757.0,382.0,522.7142857142857,575.0,5,11,2021
2021-11-14,12444,1188,3304,6981,26.55%,22447,6121,27.27%,1443,6.43%,23.57%,333,1.48%,322.0,427.0,592.0,608.0,542.0,485.7142857142857,568.0333333333333,6,11,2021
2021-11-15,14735,1340,3307,6614,22.44%,21756,7003,32.19%,1655,7.61%,23.63%,563,2.59%,333.0,322.0,402.0,694.0,396.0,508.7142857142857,573.6,0,11,2021
2021-11-16,8005,1003,3795,9461,47.41%,24574,7410,30.15%,1439,5.86%,19.42%,387,1.57%,563.0,333.0,733.0,1053.0,532.0,459.2857142857143,568.7666666666667,1,11,2021
2021-11-17,18193,1482,2390,8837,13.14%,26068,6813,26.14%,1152,4.42%,16.91%,311,1.19%,387.0,563.0,506.0,611.0,578.0,431.42857142857144,559.8666666666667,2,11,2021
2021-11-18,17193,1527,3717,7787,21.62%,30064,6411,21.32%,1578,5.25%,24.61%,453,1.51%,311.0,387.0,677.0,507.0,575.0,399.42857142857144,555.8,3,11,2021
2021-11-19,19233,1467,4155,7602,21.60%,27745,6897,24.86%,1614,5.82%,23.40%,436,1.57%,453.0,311.0,427.0,562.0,560.0,400.7142857142857,551.6666666666666,4,11,2021
2021-11-20,20028,1541,6461,10641,32.26%,25517,7724,30.27%,1784,6.99%,23.10%,605,2.37%,436.0,453.0,322.0,581.0,480.0,441.14285714285717,555.8333333333334,5,11,2021
2021-11-21,14317,1205,6029,7370,42.11%,26042,6863,26.35%,1357,5.21%,19.77%,588,2.26%,605.0,436.0,333.0,592.0,634.0,477.57142857142856,554.3,6,11,2021
