date,New_Installs ,Returning_Users ,Uninstalls ,Net_new_installs ,Uninstall_rate,DAU ,Unique_Page_Views,Page_view_conversion,Add_to_Cart,A2C_Conv,Add_to_Cart_Prod_page,Order_Comp,Overall_Conv,lag_1,lag_2,lag_7,lag_14,lag_30,roll_week,roll_month,dayofweek,month,year
2021-01-10,9300,834,1756,3416,18.88%,13555,3709,27.36%,808,5.96%,21.78%,345,2.55%,400.0,315.0,214.0,470.0,460.0,352.1428571428572,377.26666666666665,4,10,2021
2021-01-11,12609,1202,2362,9528,18.73%,24685,8521,34.52%,2316,9.38%,27.18%,694,2.81%,608.0,757.0,406.0,578.0,372.0,617.7142857142857,487.73333333333335,0,11,2021
2021-01-12,8677,797,2278,7324,26.25%,24012,5671,23.62%,1733,7.22%,30.56%,337,1.40%,171.0,332.0,635.0,311.0,694.0,416.4285714285714,509.6,2,12,2021
2021-02-10,6562,668,3214,6776,48.98%,16210,3803,23.46%,1028,6.34%,27.03%,372,2.29%,345.0,400.0,289.0,443.0,521.0,364.0,372.3,5,10,2021
2021-02-11,16512,1338,4406,8335,26.68%,28940,8302,28.69%,2248,7.77%,27.08%,1053,3.64%,694.0,608.0,586.0,575.0,342.0,684.4285714285714,511.4333333333333,1,11,2021
2021-02-12,14361,1390,5563,7093,38.74%,26767,8063,30.12%,1987,7.42%,24.64%,405,1.51%,337.0,171.0,433.0,453.0,1053.0,412.4285714285714,488.0,3,12,2021
2021-03-10,5026,623,2114,3831,42.06%,13931,4243,30.46%,823,5.91%,19.40%,342,2.45%,372.0,345.0,283.0,493.0,311.0,372.4285714285714,373.3333333333333,6,10,2021
2021-03-11,10286,1095,4295,7363,41.76%,21980,5900,26.84%,1466,6.67%,24.85%,611,2.78%,1053.0,694.0,443.0,560.0,277.0,708.4285714285714,522.5666666666667,2,11,2021
2021-03-12,14973,1376,3941,9519,26.32%,27997,8281,29.58%,1802,6.44%,21.76%,377,1.35%,405.0,337.0,609.0,436.0,611.0,379.2857142857143,480.2,4,12,2021
2021-04-10,4818,525,1596,4761,33.13%,16139,4100,25.40%,1016,6.30%,24.78%,277,1.72%,342.0,372.0,465.0,458.0,435.0,345.57142857142856,368.06666666666666,0,10,2021
