Date,New_Installs ,Returning_Users ,Uninstalls ,Net_new_installs ,Uninstall_rate,DAU ,Unique_Page_Views,Page_view_conversion,Add_to_Cart,A2C_Conv,Add_to_Cart_Prod_page,Order_Comp,Overall_Conv
01-09-2021,6012,715,2538,4738,42.22%,13421,4098,30.53%,1316,9.81%,32.11%,460,3.43%
02-09-2021,9327,617,2364,5725,25.35%,15858,5068,31.96%,1313,8.28%,25.91%,521,3.29%
03-09-2021,10415,786,1552,6222,14.90%,15832,4669,29.49%,1214,7.67%,26.00%,311,1.96%
04-09-2021,12312,765,2736,6258,22.22%,17144,5023,29.30%,1328,7.75%,26.44%,435,2.54%
05-09-2021,15719,944,3288,5532,20.92%,18753,4599,24.52%,1393,7.43%,30.29%,438,2.34%
06-09-2021,9243,824,1788,6835,19.34%,16273,4190,25.75%,933,5.73%,22.27%,427,2.62%
07-09-2021,12312,662,2390,7672,19.41%,18850,4605,24.43%,1440,7.64%,31.27%,363,1.93%
08-09-2021,11439,814,3182,4590,27.82%,14999,4295,28.64%,1196,7.97%,27.85%,524,3.49%
09-09-2021,10017,803,2705,5091,27.00%,16691,4342,26.01%,1301,7.79%,29.96%,455,2.73%
10-09-2021,12541,630,4374,6812,34.88%,17694,3938,22.26%,1217,6.88%,30.90%,388,2.19%
11-09-2021,9813,695,4020,8684,40.97%,19963,4667,23.38%,1184,5.93%,25.37%,471,2.36%
12-09-2021,8841,528,3128,8106,35.38%,18592,4341,23.35%,1306,7.02%,30.09%,302,1.62%
13-09-2021,14322,779,2095,7539,14.63%,17823,4399,24.68%,1219,6.84%,27.71%,251,1.41%
14-09-2021,10464,823,1929,7283,18.43%,19266,4193,21.76%,1186,6.16%,28.29%,289,1.50%
15-09-2021,9914,875,3721,7244,37.53%,16062,4631,28.83%,1292,8.04%,27.90%,308,1.92%
16-09-2021,13589,789,2869,6963,21.11%,21035,4819,22.91%,1029,4.89%,21.35%,337,1.60%
17-09-2021,16530,927,2705,7456,16.36%,19778,5585,28.24%,1297,6.56%,23.22%,470,2.38%
18-09-2021,12089,960,3121,6374,25.82%,20761,4677,22.53%,1333,6.42%,28.50%,443,2.13%
19-09-2021,12487,732,3765,7059,30.15%,24511,5254,21.44%,1386,5.65%,26.38%,493,2.01%
20-09-2021,12646,947,2796,6926,22.11%,21443,5003,23.33%,1341,6.25%,26.80%,458,2.14%
21-09-2021,9834,840,2966,4630,30.16%,16959,4487,26.46%,1386,8.17%,30.89%,269,1.59%
22-09-2021,10417,838,2100,8553,20.16%,19007,4603,24.22%,1349,7.10%,29.31%,413,2.17%
23-09-2021,8343,838,2381,7292,28.54%,16686,4107,24.61%,1264,7.58%,30.78%,273,1.64%
24-09-2021,10021,812,1985,6146,19.81%,16885,4426,26.21%,915,5.42%,20.67%,214,1.27%
25-09-2021,11391,924,3494,6127,30.67%,16295,4653,28.55%,1309,8.03%,28.13%,289,1.77%
26-09-2021,10474,884,3026,5988,28.89%,19893,5214,26.21%,1471,7.39%,28.21%,283,1.42%
27-09-2021,12441,1082,1724,4869,13.86%,15965,5598,35.06%,1189,7.45%,21.24%,465,2.91%
28-09-2021,11017,945,1859,6204,16.87%,15908,4386,27.57%,1119,7.03%,25.51%,368,2.31%
29-09-2021,9583,643,2250,5912,23.48%,15558,5019,32.26%,1138,7.31%,22.67%,315,2.02%
30-09-2021,7727,727,3321,8040,42.98%,18028,4621,25.63%,1192,6.61%,25.80%,400,2.22%
01-10-2021,9300,834,1756,3416,18.88%,13555,3709,27.36%,808,5.96%,21.78%,345,2.55%
02-10-2021,6562,668,3214,6776,48.98%,16210,3803,23.46%,1028,6.34%,27.03%,372,2.29%
03-10-2021,5026,623,2114,3831,42.06%,13931,4243,30.46%,823,5.91%,19.40%,342,2.45%
04-10-2021,4818,525,1596,4761,33.13%,16139,4100,25.40%,1016,6.30%,24.78%,277,1.72%
05-10-2021,5128,435,1951,4253,38.05%,11342,4066,35.85%,782,6.89%,19.23%,355,3.13%
06-10-2021,6011,483,2230,4119,37.10%,14352,4564,31.80%,833,5.80%,18.25%,521,3.63%
07-10-2021,7279,645,2240,5013,30.77%,15237,4289,28.15%,704,4.62%,16.41%,281,1.84%
08-10-2021,8856,940,2753,4971,31.09%,13435,3256,24.24%,836,6.22%,25.68%,323,2.40%
09-10-2021,8293,689,1964,5423,23.68%,13941,4501,32.29%,965,6.92%,21.44%,460,3.30%
10-10-2021,9700,911,1725,5334,17.78%,12701,4263,33.56%,1139,8.97%,26.72%,309,2.43%
11-10-2021,8873,680,2604,5450,29.35%,14119,4706,33.33%,958,6.79%,20.36%,385,2.73%
12-10-2021,11934,893,2303,5453,19.30%,14619,5398,36.92%,1165,7.97%,21.58%,365,2.50%
13-10-2021,7630,776,1460,3892,19.13%,13951,3686,26.42%,898,6.44%,24.36%,355,2.54%
14-10-2021,6568,995,970,4146,14.77%,12757,3948,30.95%,1047,8.21%,26.52%,382,2.99%
15-10-2021,6911,593,1282,4844,18.55%,13272,4461,33.61%,1120,8.44%,25.11%,542,4.08%
